as_of,position,symbol,cap_bucket,roce,ey,rank_roce,rank_ey,combined_rank
2026-09-07,199,WELSPUNLIV,small,0.05530973451327434,0.01858983834087614,186,176,362
2026-09-07,200,SOLARA,small,0.04484536082474227,0.021506429576696993,199,165,364
2026-09-07,201,SUDARSCHEM,small,0.04321404456448346,0.02173775029957267,202,164,366
2026-09-07,202,OPTIEMUS,small,0.06440382941688425,0.013859290147313389,175,200,375
2026-09-07,203,MOSCHIP,small,0.08249496981891348,0.009691473760304395,161,216,377
2026-09-07,204,COHANCE,small,0.055658627087198514,0.014059208302914098,183,199,382
2026-09-07,205,BLACKBUCK,small,0.07697501688048616,0.010715014224459606,168,214,382
2026-09-07,206,RUSTOMJEE,small,0.0239245456636761,0.01867138815746472,212,175,387
2026-09-07,207,LXCHEM,small,0.03757911392405063,0.017972494660290744,206,184,390
2026-09-07,208,ZYDUSWELL,small,0.04020378779488316,0.017395842553361754,204,187,391
2026-09-07,209,BAJAJHIND,small,0.020391517128874388,0.018233770892305285,216,180,396
2026-09-07,210,VIKASECO,small,0.007058823529411765,0.01932347809536676,226,174,400
2026-09-07,211,VIRINCHI,small,0.010443864229765013,0.018463629649616866,223,177,400
2026-09-07,212,UNIMECH,small,0.057803468208092484,0.006886662056867603,181,219,400
2026-09-07,213,AYMSYNTEX,small,0.039897039897039896,0.015201304848498978,205,196,401
2026-09-07,214,BLUESTONE,small,0.04702774108322325,0.011688420333227624,193,211,404
2026-09-07,215,FOCUS,small,0.03614457831325301,0.01354087485778137,207,205,412
2026-09-07,216,TIRUPATIFL,small,0.045714285714285714,0.009090766717602642,197,217,414
2026-09-07,217,ZIMLAB,small,0.02364066193853428,0.012194333027567134,213,210,423
2026-09-07,218,AAREYDRUGS,small,0.02,0.012348891417491686,218,209,427
2026-09-07,219,CLEDUCATE,small,0.013307984790874524,0.011616262184380496,221,212,433
2026-09-07,220,IXIGO,small,0.022488038277511963,0.006830760053701759,214,220,434
2026-09-07,221,DIAMONDYD,small,0.020161290322580645,0.005399025132738734,217,222,439
2026-09-07,222,AXISCADES,small,0.02242152466367713,0.003151212437275451,215,226,441
2026-09-07,223,IMAGICAA,small,0.011278195488721804,0.0052411137888675715,222,223,445
2026-09-07,224,INDIACEM,small,0.008399685011812057,0.0054008017898429005,225,221,446
2026-09-07,225,BOSCH-HCIL,small,0.01718213058419244,0.0019569983683589503,219,229,448
2026-09-07,226,BLUSPRING,small,0.008706467661691543,0.0032527586338110194,224,225,449
2026-09-07,227,KALPATARU,small,0.005495332731105089,0.004978724335392393,229,224,453
2026-09-07,228,PPLPHARMA,small,0.0065765700657657005,0.0026497119488790312,228,227,455
2026-09-07,229,WALCHANNAG,small,0.006932409012131715,0.002304524962959426,227,228,455
2026-09-07,230,ONESOURCE,small,0.0034083162917518746,0.0012960974268610625,230,230,460
2026-09-07,231,UFBL,small,0.002508361204013378,0.0008356122804374409,231,231,462
2026-09-07,232,STLNETWORK,small,0.0011527377521613833,0.0008286868575000743,232,232,464
